,Type,Type_M,Instance,Time,Event_tag,Participant,Age,Gender,Musicianship,Fan_status,Seat_Zone,KM,AWE,Moved,Clap Count,ICI Median,Average Rate,ICI STD,ICI quartiles,Relative first clap,Relative last clap,Initial 8s ICI Median,Initial 8s ICI quartiles,Music_Exp
232,Music,Music,4,1610.6,Beethoven,ADQ001,60.0,Woman,Music-loving nonmusician,7.0,6.0,3.6,3.83333333333333,4.0,114,0.27999999999999936,217.13677488025564,0.02491204897980576,0.019999999999999574,1.2600000000000002,-5.119999999999997,0.25,0.04000000000000081,1
233,Music,Music,4,1610.6,Beethoven,ADQ003,46.0,Man,Music-loving nonmusician,7.0,2.0,1.4,1.0,0.0,122,0.25,238.80597014925365,0.01201850425154633,0.02000000000000135,0.6000000000000001,-10.760000000000002,0.2400000000000002,6.661338147750939e-16,1
234,Music,Music,4,1610.6,Beethoven,ADQ004,57.0,Man,Music-loving nonmusician,7.0,4.0,1.9,3.5,4.0,124,0.29999999999999893,194.46640316205549,0.045680639960585336,0.04999999999999716,0.72,-1.6799999999999997,0.28000000000000025,0.020000000000000684,1
235,Music,Music,4,1610.6,Beethoven,ADQ005,47.0,Man,Serious amateur musician,7.0,4.0,1.2,3.0,2.0,96,0.3200000000000003,191.279887482419,0.026367348179972425,0.02000000000000013,0.2,-5.560000000000002,0.28000000000000025,0.03999999999999965,3
236,Music,Music,4,1610.6,Beethoven,ADQ006,58.0,Man,Music-loving nonmusician,1.0,4.0,3.7,3.0,5.0,118,0.3399999999999981,183.52941176470594,0.035210229192100366,0.040000000000004476,1.6800000000000002,-2.480000000000004,0.28000000000000025,0.020000000000000018,1
237,Music,Music,4,1610.6,Beethoven,ADQ007,54.0,Man,Music-loving nonmusician,6.0,1.0,0.9,2.66666666666667,1.0,86,0.3399999999999963,171.28248828291447,0.06384095173907328,0.019999999999999574,1.2200000000000002,-8.240000000000002,0.33999999999999986,0.020000000000000018,1
238,Music,Music,4,1610.6,Beethoven,ADQ008,37.0,Woman,Nonmusician,1.0,5.0,2.3,3.83333333333333,4.0,86,0.2999999999999998,185.0972947318461,0.15086099052285998,0.020000000000000462,0.88,-9.600000000000001,0.28,0.04999999999999982,0
239,Music,Music,4,1610.6,Beethoven,ADQ009,55.0,Woman,Serious amateur musician,1.0,3.0,0.8,2.66666666666667,0.0,82,0.34000000000000163,174.0614334470991,0.044402184571620366,0.040000000000000924,0.7000000000000001,-2.700000000000003,0.3200000000000003,0.02000000000000035,3
240,Music,Music,4,1610.6,Beethoven,ADQ010,19.0,Woman,Serious amateur musician,6.0,2.0,3.0,3.16666666666667,5.0,88,0.33999999999999986,175.01088376142783,0.038170509406229694,0.03999999999999915,0.4,-4.939999999999998,0.33999999999999986,0.0800000000000003,3
241,Music,Music,4,1610.6,Beethoven,ADQ011,56.0,Man,Serious amateur musician,5.0,1.0,1.9,4.5,1.0,83,0.41999999999999815,130.39541201328103,0.20048879042498113,0.10999999999999777,0.88,-3.9200000000000017,0.33999999999999986,0.05999999999999961,3
242,Music,Music,4,1610.6,Beethoven,ADQ012,35.0,Man,Semiprofessional musician,6.0,3.0,2.5,3.83333333333333,6.0,75,0.379999999999999,160.71428571428598,0.011327042279096767,0.019999999999999407,0.98,-0.480000000000004,0.3600000000000003,0.020000000000000462,4
243,Music,Music,4,1610.6,Beethoven,ADQ013,68.0,Man,Nonmusician,3.0,1.0,2.1,4.16666666666667,2.0,28,0.2999999999999998,199.3957703927493,0.023280707506245304,0.03500000000000081,4.819999999999999,-23.1,0.2999999999999998,0.05999999999999961,0
